species,kmers,Sequencing depths,FC,replicate
S.pyogenes,1050568,40M,3,3
C.acnes,69,40M,1.4,3
M.restricta,3309,40M,1.4,3
S.epidermidis,375,40M,1.4,3
S.pyogenes,0,40M,1.4,3
C.acnes,0,40M,1.3,3
M.restricta,373,40M,1.3,3
S.epidermidis,0,40M,1.3,3
S.pyogenes,0,40M,1.3,3
C.acnes,0,40M,1.2,3
M.restricta,37,40M,1.2,3
S.epidermidis,0,40M,1.2,3
S.pyogenes,0,40M,1.2,3
C.acnes,0,10M,1.5,4
M.restricta,168,10M,1.5,4
S.epidermidis,0,10M,1.5,4
S.pyogenes,0,10M,1.5,4
C.acnes,16,20M,1.5,4
M.restricta,1332,20M,1.5,4
S.epidermidis,109,20M,1.5,4
S.pyogenes,0,20M,1.5,4
C.acnes,2898,40M,1.5,4
M.restricta,14281,40M,1.5,4
S.epidermidis,2172,40M,1.5,4
S.pyogenes,59,40M,1.5,4
C.acnes,2423,10M,2,4
M.restricta,11996,10M,2,4
S.epidermidis,1491,10M,2,4
S.pyogenes,8,10M,2,4
C.acnes,210928,20M,2,4
M.restricta,215289,20M,2,4
S.epidermidis,9263,20M,2,4
S.pyogenes,1350,20M,2,4
C.acnes,800223,40M,2,4
M.restricta,531559,40M,2,4
S.epidermidis,14978,40M,2,4
S.pyogenes,2620,40M,2,4
C.acnes,1102395,10M,3,4
M.restricta,830246,10M,3,4
S.epidermidis,59021,10M,3,4
S.pyogenes,4505,10M,3,4
C.acnes,2502006,20M,3,4
M.restricta,5160393,20M,3,4
S.epidermidis,1080783,20M,3,4
S.pyogenes,69297,20M,3,4
C.acnes,2529342,40M,3,4
M.restricta,7277205,40M,3,4
S.epidermidis,2403357,40M,3,4
S.pyogenes,1030814,40M,3,4
C.acnes,69,40M,1.4,4
M.restricta,22668,40M,1.4,4
S.epidermidis,428,40M,1.4,4
S.pyogenes,1,40M,1.4,4
C.acnes,0,40M,1.3,4
M.restricta,326,40M,1.3,4
S.epidermidis,2,40M,1.3,4
S.pyogenes,0,40M,1.3,4
C.acnes,0,40M,1.2,4
M.restricta,8,40M,1.2,4
S.epidermidis,0,40M,1.2,4
S.pyogenes,0,40M,1.2,4
